edge_id,node_a,node_b,s1_star
923,5,235,0.54350533
924,5,236,0.75257138
925,32,400,0.48948294
926,32,401,0.57625364
927,400,401,1.04301623
928,402,403,-0.01801343
929,402,404,0.01801343
930,403,404,1.03595185
931,170,193,1.00180586
932,170,271,0.73483857
933,193,271,0.83067905
934,170,272,0.73731965
935,193,272,0.81470840
936,170,409,0.78315770
937,193,409,0.79037000
938,170,410,0.66987217
939,193,410,0.61299825
940,271,409,0.94685857
941,271,410,0.78090278
942,272,410,0.77056720
943,409,410,0.79410574
944,272,409,1.05314073
945,12,173,0.72737744
946,13,173,0.70379981
947,12,363,0.67485193
948,13,363,0.49781852
949,12,411,0.67254535
950,13,411,0.56602485
951,12,412,0.64576170
952,13,412,0.55417552
953,95,363,0.59674891
954,95,411,0.55401539
955,95,412,0.59548491
956,96,363,0.47342028
957,96,411,0.34988580
958,173,363,0.74030631
959,173,411,0.43686838
960,173,412,0.69288371
961,363,411,0.93311594
962,363,412,0.97444127
963,411,412,1.04924473
964,96,412,0.53606478
965,12,324,0.65581669
966,13,324,0.64297396
967,12,419,0.52305727
968,13,419,0.64172067
969,12,420,0.55696222
970,13,420,0.48701835
971,324,419,0.82948990
972,324,420,0.71258480
973,419,420,0.92087986
974,159,421,0.93131050
975,159,422,0.87688374
976,421,422,0.94558503
977,166,275,0.64987864
978,167,275,0.72682478
979,166,277,0.77203341
980,167,277,0.82610545
981,166,279,0.71710379
982,167,279,0.82214252
983,166,423,0.56368220
984,167,423,0.79930021
985,166,424,0.43912289
986,167,424,0.58515855
987,166,425,0.65358645
988,167,425,0.63978095
989,275,423,0.75585054
990,275,424,0.81362705
991,275,425,0.90108731
992,277,423,0.73491827
993,277,424,0.71506070
994,279,423,0.72212202
995,279,424,0.80115948
996,423,424,0.71532483
997,423,425,0.92201679
998,424,425,1.12730016
999,277,425,0.84807437
1000,279,425,0.86860131
1001,426,427,0.84404582
1002,426,428,0.96548356
1003,427,428,0.85518920
1004,426,429,0.71981211
1005,427,429,0.81029382
1006,428,429,0.89609936
1007,33,430,0.96504275
1008,33,431,0.38916047
1009,430,431,0.36980116
1010,33,432,0.39565910
1011,430,432,0.48500057
1012,33,433,0.40869475
1013,430,433,0.44357212
1014,33,434,-0.36828165
1015,430,434,-0.33333110
1016,431,434,0.29686104
1017,432,434,0.18166163
1018,433,434,0.22309008
1019,431,432,1.16956664
1020,431,433,1.07374251
1021,432,433,0.95855791
1022,57,136,0.77402558
1023,59,136,0.82769267
1024,59,398,0.43103024
1025,57,435,0.51400256
1026,59,435,0.43264808
1027,89,136,1.01505213
1028,89,398,0.51584768
1029,89,435,0.39708492
1030,136,398,0.49659374
